__time,/joint_states/header/stamp,/joint_states/left_ankle_pitch/effort,/joint_states/left_ankle_pitch/position,/joint_states/left_ankle_pitch/velocity,/joint_states/left_ankle_roll/effort,/joint_states/left_ankle_roll/position,/joint_states/left_ankle_roll/velocity,/joint_states/left_hip_pitch/effort,/joint_states/left_hip_pitch/position,/joint_states/left_hip_pitch/velocity,/joint_states/left_hip_roll/effort,/joint_states/left_hip_roll/position,/joint_states/left_hip_roll/velocity,/joint_states/left_hip_yaw/effort,/joint_states/left_hip_yaw/position,/joint_states/left_hip_yaw/velocity,/joint_states/left_knee/effort,/joint_states/left_knee/position,/joint_states/left_knee/velocity,/joint_states/right_ankle_pitch/effort,/joint_states/right_ankle_pitch/position,/joint_states/right_ankle_pitch/velocity,/joint_states/right_ankle_roll/effort,/joint_states/right_ankle_roll/position,/joint_states/right_ankle_roll/velocity,/joint_states/right_hip_pitch/effort,/joint_states/right_hip_pitch/position,/joint_states/right_hip_pitch/velocity,/joint_states/right_hip_roll/effort,/joint_states/right_hip_roll/position,/joint_states/right_hip_roll/velocity,/joint_states/right_hip_yaw/effort,/joint_states/right_hip_yaw/position,/joint_states/right_hip_yaw/velocity,/joint_states/right_knee/effort,/joint_states/right_knee/position,/joint_states/right_knee/velocity
1769760194.969681,1769760194.969414473,-0.642458059,-0.040570206,-0.703376186,0.133342114,0.162678143,-0.175676166,-10.484596252,-0.688494861,-0.021411844,3.748588324,0.139548242,0.692402065,0.059724785,0.432122439,0.827493310,0.385859847,0.757992029,-1.579449654,0.028740996,0.000393449,-0.011453316,-0.006303729,-0.001118510,-0.042348037,0.002244910,0.000042610,0.037432004,-0.025474718,-0.000042610,-0.021051995,-0.000060723,-0.000115049,-0.020189214,0.020907059,0.000042610,0.025564052
1769760194.979690,1769760194.979405165,-0.582092145,-0.047758438,-0.801906913,0.091515499,0.161660053,-0.162108806,-10.442313194,-0.688452244,-0.009465130,3.864962339,0.146664143,0.784811556,0.148028165,0.439408839,0.788428009,0.210388362,0.743163705,-1.617194295,0.046369795,0.000410452,-0.007711579,-0.024908215,-0.000894810,0.077984662,0.020608366,0.000042610,0.041796021,0.001810514,0.000042610,0.022018392,-0.017293174,-0.000076699,0.001221823,0.044540368,0.000000000,-0.007932253
1769760194.989753,1769760194.989417791,-0.357035257,-0.056663259,-0.860672243,0.125701030,0.160084048,-0.156999398,-10.504641533,-0.688409686,-0.012005417,4.011693478,0.154504418,0.697709560,0.112265415,0.447845697,0.791683912,0.140690684,0.726503134,-1.619327426,0.028195374,0.000427586,0.006511914,0.007123130,-0.000990681,0.012301970,0.023439694,-0.000127830,-0.042581074,0.024509288,0.000000000,0.010808885,-0.015810486,-0.000115049,-0.014805577,-0.021067118,0.000042610,0.034992203
1769760194.999907,1769760194.999437571,-0.488133361,-0.064183695,-0.783684806,0.098692494,0.158489670,-0.182012542,-10.396595001,-0.688153982,0.059796035,4.149447441,0.161364660,0.742006779,0.269763172,0.455132097,0.828589439,0.055084184,0.711461723,-1.684908509,0.031738512,0.000461754,0.019925746,0.009736153,-0.000926767,0.054819711,0.000166703,-0.000042610,-0.015936960,-0.029440369,0.000000000,-0.007396570,-0.012824204,-0.000115049,-0.011998456,0.013376027,0.000042610,0.011974230
1769760195.009929,1769760195.009476900,-0.614679086,-0.072124676,-0.713955710,0.147886350,0.156693355,-0.155043558,-10.499946594,-0.688026130,0.071697019,4.223901749,0.169801459,0.773011565,0.246829540,0.463070452,0.735108078,0.126473129,0.694034159,-1.676376939,0.028874835,0.000410477,0.001502453,0.014600297,-0.000958724,0.037939475,-0.022061378,-0.000085220,-0.024835929,-0.019042149,0.000127830,0.051479019,0.012362435,-0.000115049,-0.026024798,0.011465351,0.000000000,-0.002255858
1769760195.019877,1769760195.019472599,-0.667200258,-0.078783403,-0.746033122,0.132984004,0.154863310,-0.196402040,-10.479239464,-0.688068807,-0.005505241,4.332332134,0.177215621,0.786528111,0.264217407,0.470088452,0.799445271,-0.227294445,0.679376304,-1.569702387,0.021276206,0.000461730,0.017997380,0.009607918,-0.000862852,0.080979078,0.052223936,-0.000042610,0.010975852,-0.030950380,0.000000000,-0.012887248,-0.001013636,-0.000115049,-0.016296605,-0.006468685,0.000000000,0.003025406
1769760195.029747,1769760195.029412746,-0.611866944,-0.086750368,-0.780934013,0.183842072,0.152449012,-0.197116174,-10.400780678,-0.687940955,0.013070717,4.461006641,0.185950711,0.814310908,0.325296968,0.477566570,0.704893291,-0.283238828,0.663141847,-1.448990107,0.040191896,0.000376283,-0.020243590,-0.004838125,-0.000958724,0.025340979,0.048120771,-0.000042610,-0.004194697,0.012756370,-0.000085220,-0.037424240,0.010600805,-0.000076699,0.009503878,0.047894888,-0.000042610,-0.021697819
1769760195.039946,1769760195.039515734,-0.570210687,-0.094288700,-0.854212182,0.172852195,0.150469226,-0.159919443,-10.360163689,-0.687940955,-0.046880845,4.560883045,0.193663150,0.833540380,0.296035588,0.484277725,0.743562877,-0.550118566,0.648697019,-1.593968272,0.030402176,0.000444725,0.016535312,0.013332044,-0.001086553,-0.043049430,0.045869626,0.000000000,0.027360896,-0.004543259,-0.000085220,-0.035292964,0.027031472,-0.000115049,-0.013834414,0.059967883,-0.000042610,-0.024212772
1769760195.049814,1769760195.049439430,-0.616400352,-0.102583559,-0.760595306,0.055714168,0.149107569,-0.081249381,-10.372873306,-0.687642634,0.021558665,4.508852482,0.202653885,0.843878806,0.284141630,0.491870970,0.725979626,-0.512231946,0.632419884,-1.468894124,0.040830310,0.000461807,0.022309367,-0.003665104,-0.001054595,-0.017919863,0.055271741,-0.000042610,0.002318670,-0.003032016,-0.000042610,-0.016948150,0.021584935,-0.000153398,-0.031803384,0.026374675,0.000042610,0.026660826
1769760195.059868,1769760195.059433460,-0.638535187,-0.109569214,-0.757175237,0.073926893,0.147916361,-0.218854007,-10.330160141,-0.687259197,0.073068537,4.572660923,0.210835040,0.872380316,0.281305075,0.498275340,0.684999466,-0.773301065,0.617932439,-1.526589990,0.040343441,0.000410561,-0.005167290,0.003064519,-0.001150467,-0.050198426,-0.005713352,-0.000127830,-0.048650436,-0.005188398,-0.000085220,-0.054991860,0.001032883,-0.000038350,0.040069636,0.052433483,-0.000042610,-0.017028017
1769760195.069818,1769760195.069425344,-0.573783246,-0.117880901,-0.760938471,0.149040184,0.145469664,-0.246769134,-10.340570450,-0.687259197,-0.036875613,4.722074509,0.219783172,0.800186455,0.271836668,0.505715132,0.621130168,-0.641337454,0.601186633,-1.499809980,0.044957083,0.000359228,-0.027825151,0.001129260,-0.001054596,-0.008904054,-0.017492276,-0.000085220,-0.038266383,0.027800906,0.000170441,0.063442796,-0.032258201,-0.000230097,-0.075068548,0.016090710,0.000000000,0.003872377
1769760195.079874,1769760195.079427004,-0.589983790,-0.125018681,-0.782107051,0.192214102,0.142429782,-0.332054007,-10.265606880,-0.686747849,0.066501684,4.726274490,0.228347808,0.937187076,0.327919334,0.511697710,0.643739879,-0.798211932,0.586400926,-1.577862620,0.038715944,0.000393393,-0.009639351,0.008444292,-0.000990682,0.025066505,-0.018680299,-0.000085220,-0.018885842,0.003189905,0.000170441,0.086476974,0.028859733,-0.000076699,0.020979790,-0.038163081,-0.000085220,-0.048861578
1769760195.089872,1769760195.089431286,-0.419160286,-0.133552639,-0.771370073,0.131389142,0.139461741,-0.237014812,-10.312664032,-0.686236501,0.042849034,4.621213913,0.237679437,0.906764925,0.211219952,0.519022405,0.664875805,-0.617926598,0.569271684,-1.579338551,0.034483869,0.000444725,0.014739580,0.018183777,-0.001086553,-0.027498657,-0.007075842,-0.000042610,-0.009545731,-0.034997877,0.000042610,0.019384621,0.003230993,-0.000076699,0.001559601,0.025468742,0.000042610,0.011189044
1769760195.100045,1769760195.099462271,-0.499577222,-0.140465079,-0.733834521,0.055247293,0.138123561,-0.109792170,-10.252153397,-0.685725212,0.012303628,4.723774910,0.246329293,0.973882496,0.355764806,0.524659812,0.624841213,-0.946495533,0.554784238,-1.499987721,0.036626853,0.000427614,0.007409248,0.000056052,-0.001054596,-0.023767199,0.029860552,0.000000000,0.015521172,-0.029967604,-0.000042610,-0.013073199,-0.001830830,-0.000076699,0.015251654,-0.015538494,0.000000000,-0.008732670
1769760195.110143,1769760195.109477043,-0.465104811,-0.148640326,-0.776120737,0.062991245,0.135900839,-0.298595835,-10.163905144,-0.684830427,0.096759237,4.763474464,0.255533069,0.867157400,0.233080208,0.531524360,0.620742142,-0.656063080,0.537186205,-1.612592220,0.037087221,0.000444697,0.019392331,0.009347619,-0.001022638,0.006241416,0.044909123,-0.000042610,0.007069977,0.058840979,0.000085220,0.037254218,0.001006283,-0.000076699,0.002015342,-0.032263815,0.000000000,0.001907533
1769760195.120084,1769760195.119521379,-0.520790496,-0.155214102,-0.676171675,0.136244610,0.133452428,-0.315617311,-10.206381798,-0.684532106,0.003034365,4.723101616,0.263714254,0.831742764,0.367084920,0.536318064,0.524723470,-0.766614676,0.522443116,-1.599960923,0.027631609,0.000393420,-0.006213423,-0.002274610,-0.001054596,-0.019585508,-0.009743001,-0.000042610,-0.003136414,-0.020649346,0.000042610,-0.003531837,-0.014270516,-0.000076699,-0.003821749,0.053613760,0.000042610,0.012666559
